date,high,low,open,close,volume,quoteVolume,weightedAverage
1575158400,0.00726999,0.00722626,0.00726976,0.00722626,0.25760874,35.50883847,0.00725477
1575160200,0.00726,0.00722501,0.00723997,0.00726,0.19402114,26.84026697,0.00722873
1575162000,0.00725018,0.00723501,0.00724001,0.00723608,0.28698471,39.59698883,0.00724763
1575163800,0.00725467,0.00722001,0.007245,0.007225,0.37426992,51.72791846,0.00723535
1575165600,0.00722998,0.00719508,0.00722,0.00720042,0.33631686,46.65590784,0.00720845
1575167400,0.00723,0.00719512,0.00721,0.00721508,0.35078147,48.57963695,0.00722075
1575169200,0.00723998,0.00721,0.007235,0.00723,0.5038613,69.79265393,0.0072194
1575171000,0.00724,0.00721374,0.00723,0.00722501,0.32809007,45.37346016,0.00723088
1575172800,0.00723999,0.00721884,0.00723998,0.0072257,0.23463057,32.44965813,0.0072306
1575174600,0.00723992,0.007195,0.00723991,0.00721,0.71740101,99.53871973,0.00720725
1575176400,0.00724,0.007205,0.007205,0.007235,0.87638632,121.36818032,0.00722089
1575178200,0.00725439,0.00723118,0.007235,0.00724497,0.47906458,66.16637447,0.0072403
1575180000,0.007255,0.00723158,0.007232,0.00724,0.21056636,29.09551732,0.00723707
1575181800,0.00725825,0.007235,0.007235,0.007255,0.0004253,0.05863085,0.00725386
1575183600,0.0072843,0.00724977,0.00725825,0.0072843,0.51942829,71.52468078,0.00726222
1575185400,0.00729009,0.00727,0.0072843,0.00729009,0.97076924,133.28845378,0.00728322
1575187200,0.0072901,0.0072702,0.00728,0.0072702,0.21657096,29.76214443,0.00727672
1575189000,0.00729008,0.00725516,0.00727006,0.00725516,0.01751553,2.41086946,0.00726523
1575190800,0.00726498,0.00722598,0.00726498,0.00722999,0.76265755,105.33769612,0.00724011
1575192600,0.00723998,0.00720505,0.00722598,0.00722047,0.44047699,61.00049762,0.00722087
1575194400,0.007235,0.00721001,0.00723,0.00722,0.11940108,16.53132899,0.00722271
1575196200,0.00723305,0.00720136,0.00721999,0.00720305,0.16965711,23.51836609,0.00721381
1575198000,0.00722517,0.00720136,0.00720141,0.0072128,0.11739211,16.28089705,0.00721042
1575199800,0.007225,0.00721001,0.00721278,0.00721508,0.50635472,70.12143052,0.00722111
1575201600,0.00723322,0.00718,0.00723,0.00719961,0.31897421,44.34434791,0.00719312
1575203400,0.00719996,0.00717862,0.00718001,0.00717862,0.34728369,48.33470157,0.00718497
1575205200,0.00725635,0.00716501,0.0071736,0.0072,2.20355894,304.99043904,0.007225
1575207000,0.00725034,0.00717001,0.007205,0.00723,3.52883901,488.22902439,0.00722783
1575208800,0.00723901,0.00721502,0.00723471,0.00722506,0.48463129,67.01307043,0.00723189
1575210600,0.00724412,0.00721408,0.007225,0.00722537,0.35160337,48.59049134,0.00723605
1575212400,0.00724808,0.00722,0.00722502,0.00723907,1.29290684,178.688816,0.00723552
1575214200,0.00724787,0.00721504,0.00722028,0.007235,0.94260814,130.34937856,0.00723139
1575216000,0.00725539,0.00722001,0.00722012,0.007245,1.12379782,155.32710298,0.00723504
1575217800,0.00725538,0.00723002,0.00723729,0.00725495,0.026584,3.66958775,0.00724441
1575219600,0.00727283,0.00723001,0.00723501,0.00725909,0.58115929,80.10310907,0.00725514
1575221400,0.00727253,0.00724125,0.00725499,0.007265,0.24730561,34.06426505,0.00725997
1575223200,0.00729773,0.00724395,0.00724395,0.00726959,2.73498897,375.28516304,0.00728776
1575225000,0.00726958,0.00723043,0.0072613,0.00725,0.25060096,34.52733802,0.00725804
1575226800,0.00726375,0.00723,0.00726375,0.00725493,0.47680976,65.79318259,0.00724709
1575228600,0.007255,0.00722599,0.00724,0.00724231,0.36794088,50.83945363,0.0072373
1575230400,0.00724496,0.00721571,0.007235,0.007225,0.07289317,10.08205571,0.00722999
1575232200,0.00724462,0.007225,0.007225,0.00723808,0.0724335,10.01705691,0.00723101
1575234000,0.00726038,0.007235,0.00723808,0.00724,0.11416243,15.76692505,0.00724062
1575235800,0.007255,0.00723,0.00724,0.00723673,0.13788966,19.0367896,0.00724332
1575237600,0.00726116,0.00723001,0.00723673,0.00724,0.20008264,27.60534476,0.00724796
1575239400,0.007245,0.0072094,0.007245,0.00722001,0.23337676,32.32854466,0.0072189
1575241200,0.00723468,0.00722,0.00722,0.00722996,0.22234584,30.76463523,0.00722731
1575243000,0.00723,0.00721529,0.00722995,0.007225,0.18013185,24.92262017,0.00722764
1575244800,0.00724,0.007215,0.007215,0.00724,0.13058843,18.0589395,0.00723123
