date,close,high,low,open,quoteVolume,volume,weightedAverage
1575158400,0.02008,0.02009497,0.020021,0.02007299,141.51364588,2.83754783,0.0200514
1575160200,0.02012469,0.02014813,0.02007299,0.02008427,7.73633777,0.15556988,0.02010898
1575162000,0.02008648,0.020155,0.02001287,0.02014498,321.13546328,6.44892295,0.02008162
1575163800,0.0200644,0.0201554,0.02005707,0.02005707,59.54885288,1.19740709,0.02010797
1575165600,0.02004499,0.0200644,0.01993531,0.0200644,125.26041464,2.50632794,0.02000893
1575167400,0.02005,0.0201125,0.02001,0.0200625,197.49998859,3.95964821,0.02004885
1575169200,0.02012324,0.02020833,0.02003757,0.02006001,192.57162547,3.87920455,0.02014421
1575171000,0.02018999,0.02024999,0.02005341,0.02012324,121.68818329,2.45571637,0.0201804
1575172800,0.02020499,0.02025,0.02016593,0.020175,265.16426478,5.35687142,0.02020208
1575174600,0.02015898,0.02022,0.02012324,0.02021499,560.68429801,11.31543057,0.02018146
1575176400,0.02023996,0.02027954,0.02016209,0.02020343,79.28218078,1.60295214,0.02021831
1575178200,0.02023239,0.0202983,0.02022285,0.02023996,65.84388579,1.33487512,0.02027333
1575180000,0.02017999,0.020265,0.02017001,0.02023999,37.53678042,0.75903335,0.02022105
1575181800,0.02016062,0.02023499,0.02015824,0.02017999,2.54970347,0.05144295,0.02017605
1575183600,0.02015865,0.02018499,0.020151,0.02016062,3.56018612,0.07182417,0.02017427
1575185400,0.02018615,0.02020428,0.020151,0.02017499,55.49413681,1.12079222,0.02019658
1575187200,0.020155,0.02020262,0.020151,0.02018615,11.05762424,0.22304545,0.02017119
1575189000,0.02012501,0.020155,0.020125,0.020155,22.52005585,0.45362297,0.02014306
1575190800,0.02016082,0.02016672,0.02010772,0.02014499,109.15925193,2.19828923,0.02013836
1575192600,0.020165,0.02018264,0.02010772,0.02014571,131.06352557,2.63944768,0.02013868
1575194400,0.02013935,0.0203,0.02011536,0.02016656,829.10085423,16.77687345,0.02023502
1575196200,0.02007559,0.02015924,0.02006991,0.02013571,51.88907203,1.04296226,0.02009984
1575198000,0.02011998,0.02012,0.02007446,0.02007446,63.60778422,1.27886265,0.02010544
1575199800,0.02014035,0.020145,0.02008291,0.02010565,41.77380248,0.84015437,0.02011199
1575201600,0.02014128,0.020155,0.02011842,0.02014036,20.89624145,0.42094313,0.02014444
1575203400,0.02015238,0.02016197,0.020105,0.02014128,21.81303366,0.43928242,0.02013852
1575205200,0.02017999,0.02026487,0.02015073,0.02015073,236.73345003,4.77703537,0.02017896
1575207000,0.02030631,0.0203125,0.02015503,0.02017499,382.44928021,7.7451838,0.02025153
1575208800,0.02035001,0.02041388,0.02030632,0.02030632,150.45206988,3.0670458,0.02038553
1575210600,0.02037081,0.02041666,0.02032001,0.02035001,41.26364511,0.83961121,0.02034748
1575212400,0.02042659,0.02046824,0.02035591,0.02036429,105.32377832,2.14980861,0.02041142
1575214200,0.020465,0.020535,0.02042941,0.02042941,401.55052466,8.21127308,0.02044891
1575216000,0.02052328,0.0205233,0.02046501,0.02046726,245.49106172,5.02928045,0.02048661
1575217800,0.02047628,0.02052996,0.020465,0.02051276,42.40563332,0.86969978,0.02050906
1575219600,0.02049402,0.02052196,0.0204691,0.0204691,195.92282794,4.01692379,0.02050258
1575221400,0.02051498,0.02053542,0.02047563,0.02049607,66.72571027,1.36976762,0.02052833
1575223200,0.0205453,0.020575,0.02051169,0.02051476,163.37471041,3.35865445,0.02055798
1575225000,0.020555,0.02056,0.02051639,0.02053777,234.85828877,4.82267046,0.02053438
1575226800,0.02051997,0.02055499,0.02050636,0.02055,127.35039821,2.61356175,0.0205226
1575228600,0.02043997,0.02051498,0.02041922,0.02051498,52.9118481,1.08316745,0.02047117
1575230400,0.02040999,0.02046112,0.02040399,0.02043098,44.95807575,0.91840675,0.02042807
1575232200,0.02042635,0.02042635,0.02036312,0.02040399,21.80636087,0.44474118,0.02039502
1575234000,0.02044984,0.02048345,0.02040227,0.02041998,188.10826134,3.84288705,0.02042912
1575235800,0.02047388,0.02048749,0.0204,0.02045999,111.46944987,2.27674929,0.02042487
1575237600,0.02051352,0.02055473,0.0204657,0.02048748,106.3146229,2.18087938,0.02051344
1575239400,0.02050652,0.02053,0.02046454,0.0205159,45.73174025,0.93728402,0.02049526
1575241200,0.02044499,0.0205625,0.02041804,0.02051892,109.90182508,2.25141182,0.02048566
1575243000,0.020395,0.02043,0.020363,0.02042582,315.01074174,6.42060548,0.02038217
1575244800,0.0203909,0.02044929,0.02038531,0.02041956,268.18434492,5.48140575,0.02043894
